learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.255521167,1.9760049603399717E-7,100.0,54.0,20.249653259362,31.34328358208956,-39.3939393939394,100.0,608368.0
200.0,2.031554702,3.198346887072072E-7,200.0,60.5,30.212014134275613,41.04477611940299,-19.696969696969717,200.0,608856.0
300.0,2.518407292,3.965679264428239E-7,300.0,71.66666666666667,46.54088050314466,57.49999999999999,14.141414141414133,300.0,609240.0
400.0,2.913801831,4.590369546125705E-7,400.0,56.75,15.01694748735079,34.96240601503759,-4.848484848484853,400.0,610712.0
500.0,3.286172231,5.178776094244959E-7,500.0,52.800000000000004,6.590883903551141,29.129129129129133,-1.7241379310344844,500.0,610808.0
600.0,3.66100938,5.771227907340312E-7,600.0,52.666666666666664,5.333333333333323,28.8220551378446,5.016722408026738,600.0,610960.0
700.0,4.04259044,6.374315170501835E-7,700.0,51.857142857142854,5.016910935738441,27.526881720430108,-1.5060240963855367,700.0,610936.0
800.0,4.421834367,6.973677209353882E-7,800.0,54.25,10.655982814702696,31.203007518796984,-0.2739726027397202,800.0,610904.0
900.0,4.799431604,7.570468056991035E-7,900.0,57.333333333333336,17.08253358925145,35.78595317725753,3.5175879396984904,900.0,610936.0
1000.0,5.179520448,8.171259809753713E-7,1000.0,54.300000000000004,10.175874458500072,31.174698795180728,1.508620689655174,1000.0,611000.0
1100.0,5.553932146,8.763093414835923E-7,1100.0,53.18181818181819,7.167063234551876,29.54856361149111,3.0131826741996424,1100.0,611016.0
1200.0,5.963692225,9.410751420882076E-7,1200.0,52.83333333333333,5.666666666666664,28.983688833124216,5.351170568561863,1200.0,610968.0
1300.0,6.350446089,1.0022006274766125E-6,1300.0,52.46153846153846,5.637773079633539,28.389339513325606,2.0602218700475454,1300.0,610928.0
1400.0,6.738533759,1.06354013033668E-6,1400.0,53.5,8.321295934913561,30.000000000000004,1.9578313253012163,1400.0,610960.0
1500.0,7.118795904,1.12364591163984E-6,1500.0,54.800000000000004,11.36482482133521,31.927710843373504,2.72596843615496,1500.0,610992.0
