learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.812674731,1.2900634196309994E-7,100.0,62.0,29.42050520059435,43.28358208955224,-15.151515151515166,100.0,613616.0
200.0,1.14636247,1.820245522342022E-7,200.0,72.0,45.61522773623384,58.2089552238806,15.151515151515133,200.0,614168.0
300.0,1.467489434,2.3308558212611203E-7,300.0,79.33333333333333,57.72727272727273,69.0,37.37373737373736,300.0,614632.0
400.0,1.661789523,2.6405761908316777E-7,400.0,62.5,23.57077346377255,43.60902255639097,9.090909090909086,400.0,616168.0
500.0,1.809013639,2.875280374688407E-7,500.0,55.00000000000001,9.458197855970115,32.43243243243244,3.017241379310348,500.0,616232.0
600.0,1.954621333,3.107416704618434E-7,600.0,53.333333333333336,6.666666666666665,29.824561403508763,6.354515050167215,600.0,616256.0
700.0,2.106627813,3.349763792470263E-7,700.0,54.285714285714285,8.49972223129962,31.182795698924725,3.6144578313252977,700.0,616280.0
800.0,2.23889718,3.5606435911765733E-7,800.0,57.75,15.342855174918455,36.46616541353383,7.397260273972614,800.0,616280.0
900.0,2.380325906,3.7861263461531655E-7,900.0,60.55555555555555,20.81784386617099,40.63545150501672,10.804020100502495,900.0,616280.0
1000.0,2.533038541,4.0296245559819866E-7,1000.0,56.89999999999999,13.623792536775007,35.090361445783124,7.112068965517223,1000.0,616344.0
1100.0,2.684156526,4.270580118175244E-7,1100.0,55.36363636363636,10.677074719677163,32.83173734610123,7.532956685499061,1100.0,616344.0
1200.0,2.812235832,4.4748008215055075E-7,1200.0,56.00000000000001,12.00000000000001,33.751568381430374,11.7056856187291,1200.0,616344.0
1300.0,2.938197008,4.675646802392788E-7,1300.0,55.46153846153846,10.90620709246721,32.90845886442642,8.240887480190182,1300.0,616352.0
1400.0,3.077732534,4.898137179809498E-7,1400.0,55.85714285714286,11.660741306465363,33.5483870967742,6.927710843373506,1400.0,616352.0
1500.0,3.204086229,5.099614265049062E-7,1500.0,57.4,14.716611798202681,35.843373493975896,8.321377331420363,1500.0,616368.0
